Homicide Rate,Country
84.6,Honduras
64.2,El Salvador
62,Venezuela
52.6,United States Virgin Islands (US)
38,Lesotho
36.1,Jamaica
34.4,Belize
33.6,Saint Kitts and Nevis
33,South Africa
31.2,Guatemala
29.8,Bahamas
27.9,Colombia
25.9,Trinidad and Tobago
25.6,Saint Vincent and the Grenadines
24.6,Brazil
21.6,Saint Lucia
21.1,Dominica
20.4,Montserrat (UK)
19.4,Greenland (Denmark)
18.5,Puerto Rico (US)
17.4,Swaziland
17.4,Dominican Republic
17.2,Namibia
17.2,Panama
17,Guyana
16.5,Saint Pierre and Miquelon (France)
15.7,Mexico
15.4,Botswana
15.2,Myanmar
14.7,Cayman Islands (UK)
14.4,South Sudan
13.6,Central African Republic
13.5,Democratic Republic of the Congo
13.3,French Guiana (France)
12.8,Turkmenistan
12.4,Ivory Coast
12.1,Bolivia
11.8,Uganda
11.4,Mauritania
11.3,Nicaragua
11.2,Mali
11.2,Antigua and Barbuda
10.8,Angola
10.6,Cape Verde
10.5,Congo
10.4,Papua New Guinea
10.3,Guinea-Bissau
10.3,Nigeria
10.2,Haiti
10,Costa Rica
9.9,Philippines
9.6,Gambia
9.5,Russia
9.4,Chad
9.4,Gabon
9.4,Togo
9,Guinea
8.8,Barbados
8.8,Paraguay
8.4,British Virgin Islands (UK)
8.2,Tanzania
8.2,Ecuador
8.2,Kiribati
8.1,Ethiopia
8.1,Senegal
8,Comoros
8,Iraq
7.9,Guadeloupe (France)
7.8,Eritrea
7.8,Uruguay
7.8,Kazakhstan
7.7,Bermuda (UK)
7.7,Pakistan
7.6,Argentina
7.5,Zimbabwe
7.5,Anguilla (UK)
7.5,Grenada
7.5,Mongolia
7.4,Palestine
7,Djibouti
6.7,Peru
6.6,Turks and Caicos Islands (UK)
6.5,Sudan
6.5,Cambodia
6.5,Afghanistan
6.3,Benin
6.2,Zambia
6.1,Suriname
6,Mayotte (France)
5.9,Kenya
5.9,Laos
5.6,Somalia
5.5,Lithuania
5.2,North Korea
4.8,Yemen
4.7,Niger
4.6,Rwanda
4.6,Micronesia
4.3,Lebanon
4.3,Ukraine
4.3,Solomon Islands
4.2,Cuba
4.2,Tuvalu
4,Burundi
4,Albania
4,Fiji
3.9,Aruba (Netherlands)
3.9,Thailand
3.9,Iran
3.9,Maldives
3.9,Latvia
3.8,United States
3.71,Kyrgyzstan
3.7,Mozambique
3.7,Uzbekistan
3.6,Equatorial Guinea
3.6,Chile
3.6,Timor-Leste
3.6,Belarus
3.6,Niue
3.6,Samoa
3.4,Egypt
3.4,Sri Lanka
3.3,Sao Tome and Principe
3.3,Liberia
3.3,Vietnam
3.3,New Caledonia (France)
3.2,India
3.2,Moldova
3.2,Montenegro
3.1,Tunisia
3.1,Estonia
3.1,Palau
3.1,Cook Islands
3,Taiwan
2.9,Nepal
2.9,Vanuatu
2.8,Cameroon
2.8,Bangladesh
2.7,Mauritius
2.7,Martinique (France)
2.7,Bhutan
2.7,Georgia
2.7,Liechtenstein
2.6,Turkey
2.5,Libya
2.5,Azerbaijan
2.5,Guam (US)
2.3,Malaysia
2.2,Seychelles
2.2,Syria
2.2,Kosovo
2,Brunei
2,Jordan
1.8,Malawi
1.8,Réunion (France)
1.8,Sierra Leone
1.8,Armenia
1.8,Israel
1.8,Belgium
1.7,Ghana
1.6,Tajikistan
1.6,Bulgaria
1.6,Finland
1.6,Macedonia
1.5,Algeria
1.5,Hungary
1.5,Romania
1.4,Canada
1.4,Malta
1.3,Bosnia and Herzegovina
1.3,Serbia
1.3,Nauru
1.2,France
1.1,Cyprus
1.1,Oman
1.1,Qatar
1.1,Slovakia
1.1,"Ireland, Republic of"
1.1,Greece
1,Morocco
1,Macao
1,Denmark
1,United Kingdom
1,Australia
1,Tonga
0.9,Hong Kong
0.9,Sweden
0.9,Portugal
0.9,Germany
0.9,New Zealand
0.8,China
0.8,Saudi Arabia
0.8,Croatia
0.8,Italy
0.7,Burkina Faso
0.7,South Korea
0.7,United Arab Emirates
0.7,Czech Republic
0.7,Poland
0.7,Slovenia
0.7,Spain
0.7,Luxembourg
0.7,Netherlands
0.6,Madagascar
0.6,Norway
0.5,Indonesia
0.5,Bahrain
0.5,Austria
0.5,Switzerland
0.4,Kuwait
0.4,French Polynesia (France)
0.3,Japan
0.3,Singapore
0.3,Iceland
0,Andorra
0,San Marino
0,Monaco
